Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Longitud;Texto Cajetines;Longitud;Latitud;dir
440464,3500000000;4473736,0500000000;13/02/2019;01  CENTRO;01-02 EMBAJADORES;OLIVAR, CALLE, DEL;4;PMR;Línea;1;5;;-3.701701641;40.412115834;OLIVAR, CALLE, DEL4
439988,3200000000;4473361,5400000000;21/12/2020;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;19;PMR;Línea;1;5;DOMINGOS Y FESTIVOS DE 0 A 16 H.;-3.70727652;40.408708053;RIBERA DE CURTIDORES, CALLE, DE LA19
440773,7800000000;4473481,9400000000;28/06/2018;01  CENTRO;01-02 EMBAJADORES;SALITRE, CALLE, DEL;9;PMR;Línea;2;10,9;;-3.698031216;40.409849213;SALITRE, CALLE, DEL9
440683,0000000000;4473388,1300000000;21/03/2002;01  CENTRO;01-02 EMBAJADORES;SALITRE, CALLE, DEL;31;PMR;Línea;1;5;;-3.699092334;40.408997225;SALITRE, CALLE, DEL31
440405,7300000000;4473535,9400000000;15/06/2015;01  CENTRO;01-02 EMBAJADORES;SAN CARLOS, CALLE, DE;1;PMR;Línea;1;5,5;;-3.70237372;40.410309012;SAN CARLOS, CALLE, DE1
440868,6500000000;4473585,7100000000;16/02/2007;01  CENTRO;01-02 EMBAJADORES;SAN ILDEFONSO, CALLE, DE;7;PMR;Línea;2;12,1;DE LUNES A VIERNESDE 9 A 20 H.;-3.696922829;40.410790755;SAN ILDEFONSO, CALLE, DE7
440729,4000000000;4473630,6700000000;22/11/2012;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;7;PMR;Línea;2;10;;-3.698568077;40.411186325;SANTA ISABEL, CALLE, DE7
440824,7100000000;4473514,6600000000;27/04/2016;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;42;PMR;Línea;1;5;;-3.697434079;40.410147552;SANTA ISABEL, CALLE, DE42
440937,5900000000;4473448,6500000000;27/08/2015;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;47;PMR;Batería;1;3;;-3.696097655;40.409561187;SANTA ISABEL, CALLE, DE47
441033,6000000000;4473386,5600000000;31/07/2014;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;50;PMR;Batería;1;4,2;LABORABLES DE 8 A 20 H.;-3.694960449;40.409008283;SANTA ISABEL, CALLE, DE50
440757,4800000000;4473265,2600000000;11/12/2009;01  CENTRO;01-02 EMBAJADORES;SOMBRERERIA, CALLE, DE LA;24;PMR;Línea;1;5;;-3.698203103;40.407895771;SOMBRERERIA, CALLE, DE LA24
440667,9000000000;4473236,3400000000;17/01/2018;01  CENTRO;01-02 EMBAJADORES;SOMBRERERIA, CALLE, DE LA;14 A;PMR;Línea;1;5,5;;-3.699256142;40.407628887;SOMBRERERIA, CALLE, DE LA14 A
440153,5200000000;4473756,3200000000;26/07/2023;01  CENTRO;01-02 EMBAJADORES;TIRSO DE MOLINA, PLAZA, DE;13;PMR;Batería;3;14,2;;-3.705366852;40.412276606;TIRSO DE MOLINA, PLAZA, DE13
439969,1800000000;4473057,5900000000;15/10/2010;01  CENTRO;01-02 EMBAJADORES;TOLEDO, RONDA, DE;5;PMR;Línea;2;11;;-3.707473446;40.405968971;TOLEDO, RONDA, DE5
440155,0300000000;4473011,4500000000;07/11/2017;01  CENTRO;01-02 EMBAJADORES;TOLEDO, RONDA, DE;30;PMR;Línea;1;6;;-3.705278903;40.405566583;TOLEDO, RONDA, DE30
440655,3900000000;4473643,0900000000;18/04/2018;01  CENTRO;01-02 EMBAJADORES;TORRECILLA DEL LEAL, CALLE, DE LA;5;PMR;Línea;1;5,5;;-3.699441437;40.411292093;TORRECILLA DEL LEAL, CALLE, DE LA5
440585,4500000000;4473584,7100000000;22/07/2016;01  CENTRO;01-02 EMBAJADORES;TRES PECES, CALLE, DE LOS;6;PMR;Línea;1;5,4;;-3.700260308;40.410761706;TRES PECES, CALLE, DE LOS6
440363,7400000000;4473246,4100000000;22/07/2016;01  CENTRO;01-02 EMBAJADORES;TRIBULETE, CALLE, DEL;16;PMR;Línea;1;5,5;;-3.70284154;40.407698387;TRIBULETE, CALLE, DEL16
440567,8600000000;4473231,8100000000;01/12/2004;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;14;PMR;Línea;1;5,8;;-3.700434602;40.407581446;VALENCIA, CALLE, DE14
440617,7800000000;4473139,0000000000;14/03/2023;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;17;PMR;Línea;1;8;;-3.699837695;40.406748595;VALENCIA, CALLE, DE17
440643,2000000000;4473066,7900000000;26/03/2010;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;25;PMR;Línea;1;7,49;;-3.699531391;40.406100121;VALENCIA, CALLE, DE25
441134,7600000000;4473652,7100000000;06/02/2018;01  CENTRO;01-03 CORTES;ALAMEDA, CALLE, DE LA;14;PMR;Línea;1;4,5;;-3.693792933;40.411412815;ALAMEDA, CALLE, DE LA14
441013,8400000000;4473631,0000000000;26/02/2000;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;5;PMR;Línea;1;6;;-3.695215873;40.411208727;ALMADEN, CALLE, DE5
440736,7000000000;4473787,4000000000;13/01/2011;01  CENTRO;01-03 CORTES;AMOR DE DIOS, CALLE, DEL;10;PMR;Línea;1;5;;-3.698496687;40.412598035;AMOR DE DIOS, CALLE, DEL10
